,pokemon_id,version_group_id,pokemon_move_method_id,level,order,mastery,move_name
0,1,1,1,1,1.0,,Tackle
1,1,1,1,1,2.0,,Growl
2,1,1,1,7,,,Leech-Seed
3,1,1,1,13,,,Vine-Whip
4,1,1,1,20,,,Poison-Powder
5,1,1,1,27,,,Razor-Leaf
6,1,1,1,34,,,Growth
7,1,1,1,41,,,Sleep-Powder
8,1,1,1,48,,,Solar-Beam
9,1,1,4,0,,,Swords-Dance
10,1,1,4,0,,,Cut
11,1,1,4,0,,,Body-Slam
12,1,1,4,0,,,Take-Down
13,1,1,4,0,,,Double-Edge
14,1,1,4,0,,,Mega-Drain
15,1,1,4,0,,,Solar-Beam
16,1,1,4,0,,,Toxic
17,1,1,4,0,,,Rage
18,1,1,4,0,,,Mimic
19,1,1,4,0,,,Double-Team
20,1,1,4,0,,,Reflect
21,1,1,4,0,,,Bide
22,1,1,4,0,,,Rest
23,1,1,4,0,,,Substitute
24,2,1,1,1,1.0,,Tackle
25,2,1,1,1,2.0,,Growl
26,2,1,1,1,3.0,,Leech-Seed
27,2,1,1,7,,,Leech-Seed
28,2,1,1,13,,,Vine-Whip
29,2,1,1,22,,,Poison-Powder
30,2,1,1,30,,,Razor-Leaf
31,2,1,1,38,,,Growth
32,2,1,1,46,,,Sleep-Powder
33,2,1,1,54,,,Solar-Beam
34,2,1,4,0,,,Swords-Dance
35,2,1,4,0,,,Cut
36,2,1,4,0,,,Body-Slam
37,2,1,4,0,,,Take-Down
38,2,1,4,0,,,Double-Edge
39,2,1,4,0,,,Mega-Drain
40,2,1,4,0,,,Solar-Beam
41,2,1,4,0,,,Toxic
42,2,1,4,0,,,Rage
43,2,1,4,0,,,Mimic
44,2,1,4,0,,,Double-Team
45,2,1,4,0,,,Reflect
46,2,1,4,0,,,Bide
47,2,1,4,0,,,Rest
48,2,1,4,0,,,Substitute
49,3,1,1,1,4.0,,Vine-Whip
50,3,1,1,1,1.0,,Tackle
51,3,1,1,1,2.0,,Growl
52,3,1,1,1,3.0,,Leech-Seed
53,3,1,1,7,,,Leech-Seed
54,3,1,1,13,,,Vine-Whip
55,3,1,1,22,,,Poison-Powder
56,3,1,1,30,,,Razor-Leaf
57,3,1,1,43,,,Growth
58,3,1,1,55,,,Sleep-Powder
59,3,1,1,65,,,Solar-Beam
60,3,1,4,0,,,Swords-Dance
61,3,1,4,0,,,Cut
62,3,1,4,0,,,Body-Slam
63,3,1,4,0,,,Take-Down
64,3,1,4,0,,,Double-Edge
65,3,1,4,0,,,Hyper-Beam
66,3,1,4,0,,,Mega-Drain
67,3,1,4,0,,,Solar-Beam
68,3,1,4,0,,,Toxic
69,3,1,4,0,,,Rage
70,3,1,4,0,,,Mimic
71,3,1,4,0,,,Double-Team
72,3,1,4,0,,,Reflect
73,3,1,4,0,,,Bide
74,3,1,4,0,,,Rest
75,3,1,4,0,,,Substitute
76,4,1,1,1,1.0,,Scratch
77,4,1,1,1,2.0,,Growl
78,4,1,1,9,,,Ember
79,4,1,1,15,,,Leer
80,4,1,1,22,,,Rage
81,4,1,1,30,,,Slash
82,4,1,1,38,,,Flamethrower
83,4,1,1,46,,,Fire-Spin
